,#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
119,35.0,P.J. Dozier,PG,6-6,205.0,26,Sacramento Kings,5,South Carolina,"2017 NBA Draft, Undrafted",United States
120,31.0,Goran Dragic,G,6-3,190.0,36,Milwaukee Bucks,14,Union Olimpija (Slovenia),2008 Rnd 2 Pick 15,Slovenia
121,3.0,Andre Drummond,C,6-10,279.0,29,Chicago Bulls,10,Connecticut,2012 Rnd 1 Pick 9,United States
124,11.0,Kris Dunn,SG,6-3,205.0,29,Utah Jazz,6,Providence,2016 Rnd 1 Pick 5,United States
125,35.0,Kevin Durant,SF,6-10,225.0,34,Phoenix Suns,15,Texas,2007 Rnd 1 Pick 2,United States
131,21.0,Joel Embiid,C,7-0,280.0,29,Philadelphia Sixers,8,Kansas,2014 Rnd 1 Pick 3,Cameroon
134,28.0,Dorian Finney-Smith,SF,6-7,220.0,29,Brooklyn Nets,6,Florida,"2016 NBA Draft, Undrafted",United States
138,13.0,Evan Fournier,SG,6-7,205.0,30,New York Knicks,10,Poitiers Basket 86 (France),2012 Rnd 1 Pick 20,France
139,5.0,De'Aaron Fox,PG,6-3,185.0,25,Sacramento Kings,5,Kentucky,2017 Rnd 1 Pick 5,United States
140,20.0,Markelle Fultz,PG,6-4,210.0,24,Orlando Magic,5,Washington,2017 Rnd 1 Pick 1,United States
143,8.0,Danilo Gallinari,SF,6-10,233.0,34,Boston Celtics,14,AX Armani Exchange Milan (Italy),2008 Rnd 1 Pick 6,Italy
147,22.0,Rudy Gay,SF,6-8,240.0,36,Utah Jazz,16,Connecticut,2006 Rnd 1 Pick 8,United States
148,13.0,Paul George,GF,6-8,220.0,32,Los Angeles Clippers,12,Fresno State,2010 Rnd 1 Pick 10,United States
149,67.0,Taj Gibson,F,6-9,232.0,37,Washington Wizards,13,USC,2009 Rnd 1 Pick 26,United States
154,27.0,Rudy Gobert,C,7-1,256.0,30,Minnesota Timberwolves,9,Cholet Basket (France),2013 Rnd 1 Pick 27,France
156,50.0,Aaron Gordon,F,6-8,235.0,27,Denver Nuggets,8,Arizona,2014 Rnd 1 Pick 4,United States
157,10.0,Eric Gordon,G,6-3,215.0,34,Los Angeles Clippers,14,Indiana,2008 Rnd 1 Pick 7,United States
159,9.0,Jerami Grant,F,6-8,210.0,29,Portland Trail Blazers,8,Syracuse,2014 Rnd 2 Pick 9,United States
161,14.0,Danny Green,SF,6-6,220.0,35,Cleveland Cavaliers,13,North Carolina,2009 Rnd 2 Pick 16,United States
162,23.0,Draymond Green,F,6-6,234.0,33,Golden State Warriors,10,Michigan State,2012 Rnd 2 Pick 5,United States
163,1.0,JaMychal Green,PF,6-8,227.0,32,Golden State Warriors,8,Alabama,"2012 NBA Draft, Undrafted",United States
166,32.0,Jeff Green,F,6-8,235.0,36,Denver Nuggets,14,Georgetown,2007 Rnd 1 Pick 5,United States
168,91.0,Blake Griffin,PF,6-9,246.0,34,Boston Celtics,13,Oklahoma,2009 Rnd 1 Pick 1,United States
174,11.0,Tim Hardaway Jr.,SG,6-5,205.0,31,Dallas Mavericks,9,Michigan,2013 Rnd 1 Pick 24,United States
175,1.0,James Harden,SG,6-5,220.0,33,Philadelphia Sixers,13,Arizona State,2009 Rnd 1 Pick 3,United States
178,5.0,Montrezl Harrell,F,6-7,240.0,29,Philadelphia Sixers,7,Louisville,2015 Rnd 2 Pick 2,United States
179,14.0,Gary Harris,SG,6-4,210.0,28,Orlando Magic,8,Michigan State,2014 Rnd 1 Pick 19,United States
180,12.0,Joe Harris,SG,6-6,215.0,31,Brooklyn Nets,8,Virginia,2014 Rnd 2 Pick 3,United States
182,33.0,Tobias Harris,F,6-7,230.0,30,Philadelphia Sixers,11,Tennessee,2011 Rnd 1 Pick 19,United States
183,3.0,Josh Hart,SG,6-5,215.0,28,New York Knicks,5,Villanova,2017 Rnd 1 Pick 30,United States
185,40.0,Udonis Haslem,FC,6-8,235.0,42,Miami Heat,19,Florida,"2002 NBA Draft, Undrafted",United States
189,20.0,Gordon Hayward,GF,6-7,225.0,33,Charlotte Hornets,12,Butler,2010 Rnd 1 Pick 9,United States
190,9.0,Willy Hernangomez,C,6-11,250.0,28,New Orleans Pelicans,6,Cajasol Seville U18 (Spain),2015 Rnd 2 Pick 5,Spain
192,24.0,Buddy Hield,G,6-4,220.0,30,Indiana Pacers,6,Oklahoma,2016 Rnd 1 Pick 6,Bahamas
194,7.0,George Hill,G,6-3,188.0,36,Indiana Pacers,14,IUPUI,2008 Rnd 1 Pick 26,United States
