id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
5n44Y1e8exufbm9mmAvopf,0.7140000000000001,0.17,187280,0.0234,0.8909999999999999,0.118,-28.042,0.0452,127.138,0.0326
0tGkExOwqbXyl9rp3gO89b,0.00998,0.6759999999999999,176587,0.731,0.0,0.251,-5.603,0.0362,118.023,0.7759999999999999
6aVJQcBuTixMKRbpZYdohf,0.153,0.6809999999999999,202733,0.7040000000000001,0.0,0.134,-4.417,0.0578,126.022,0.5539999999999999
6vhRmymsQaWhVegaK7aTDe,0.0395,0.7040000000000001,216160,0.836,0.0,0.458,-4.43,0.0478,161.894,0.8640000000000001
5d6nTdahyEnH1TILFC0Tp3,0.000878,0.45,223347,0.907,0.0,0.256,-3.73,0.073,108.135,0.344
3I4wuL82QeU3IR518TuV33,0.0402,0.485,298333,0.737,0.0,0.0923,-5.947,0.033,79.961,0.384
20fQVuio8RcGPleqONoGx6,0.423,0.743,218000,0.821,0.0,0.325,-6.0470000000000015,0.06,82.061,0.828
0R97k5AJy1udJI6mGV82FJ,0.0318,0.642,197602,0.861,0.0,0.23,-3.837,0.294,92.912,0.5820000000000001
3FsR3a2GxUmEwnpCy8kQfj,0.524,0.703,295642,0.616,0.0,0.348,-7.598,0.175,68.546,0.485
6iw32k0OUKHildYsQTRnVB,0.965,0.245,267120,0.242,0.0083299999999999,0.271,-12.963,0.0318,135.714,0.138
3xfaeVCJtqH54aZlJalvdr,0.00245,0.589,225907,0.6859999999999999,0.0,0.121,-6.0760000000000005,0.0268,120.991,0.6709999999999999
46aIq2GKW7Vr6i4g2Vvycd,0.222,0.65,170493,0.947,0.0,0.979,-5.3260000000000005,0.0717,96.035,0.6940000000000001
6cLxNwJmqxLbmbGPP8ulQr,0.0372,0.547,242067,0.794,0.0,0.114,-4.713,0.0276,96.034,0.568
5WDlNHQW1LmcQIA15oGjiW,0.416,0.4,236067,0.445,9.03e-06,0.0938,-7.546,0.0323,150.15,0.108
3GJZLvGXaVszYdSBLMtJFX,0.0962,0.478,136892,0.906,0.919,0.115,-6.7810000000000015,0.0419,140.02100000000002,0.59
3L2YOO6dDiB91M1AbQ0CCR,0.541,0.535,235921,0.696,0.00521,0.63,-7.181,0.0901,91.002,0.213
5LCuFER5mMzL0fGNpClksf,0.00191,0.757,205187,0.6609999999999999,5.770000000000001e-05,0.141,-5.908,0.0291,111.64,0.617
7aZDLCAqie3RYzCrBFXOJL,0.00487,0.385,215040,0.912,1.11e-05,0.0926,-4.198,0.105,127.038,0.312
5o5KX1f1JBQ2SxGzE8RQQA,0.0244,0.6659999999999999,241467,0.715,0.0,0.119,-7.292000000000002,0.156,85.35600000000002,0.1
2M98FO4fkGec4lzsafk8YY,0.197,0.579,248080,0.889,0.0,0.131,-4.078,0.0796,125.948,0.556
