"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"257","Nick Richards","Cha","C","25.3","60","18.5","15.6","15.8","163","0.748","287","0.62","0","0","0.62","0.666","8","6.3","0.6","0.2","1.1","0.9","14.2","8.6","14.8","6.7","130","104.5"
"258","Terrence Ross","Orl","G-F","32.1","42","22.5","15.7","11","20","0.75","139","0.489","160","0.381","0.533","0.543","8","2","1.3","0.6","0.2","0.9","10","9.2","11.3","4.9","104.4","113.4"
"259","Kemba Walker","Dal","G","32.9","9","16","22.1","6.5","21","0.81","29","0.586","28","0.25","0.482","0.543","8","1.8","2.1","0.2","0.2","0.4","9.8","10.1","11.9","7.8","118.4","113"
"260","Kenrich Williams","Okc","G-F","28.3","53","22.8","13.7","8.5","39","0.436","212","0.608","134","0.373","0.59","0.585","8","4.9","2","0.8","0.3","0.6","12.9","10","14.9","7.5","126.5","107.8"
"261","Matisse Thybulle","Por","G-F","26.1","17","27.7","11.6","9.9","10","0.5","39","0.615","70","0.386","0.592","0.591","7.9","3.6","1.5","1.8","0.8","0.7","11.5","9.4","12.9","5","119.6","111.7"
"262","Duane Washington Jr.","Pho","G","23","31","12.7","32.5","11.7","24","0.667","145","0.372","111","0.36","0.445","0.458","7.9","1.2","2","0.2","0.1","1.1","9","9.9","11.1","8.4","93.5","114.1"
"263","Jeff Green","Den","F","36.6","49","19.2","17.2","12.8","96","0.729","202","0.584","85","0.294","0.542","0.579","7.8","2.5","1.1","0.3","0.3","0.9","10.3","8.9","11.4","5.8","113","109.7"
"264","Joe Harris","Bro","G-F","31.5","66","21.5","14.2","8.8","24","0.625","104","0.548","299","0.428","0.618","0.62","7.8","2.3","1.4","0.5","0.2","0.6","10.1","9.2","11.5","5.4","118.4","110.2"
"265","Luke Kennard","Lac","G","26.7","35","20.7","15","12.4","20","0.95","79","0.494","132","0.447","0.604","0.623","7.8","2.4","1.1","0.5","0.1","0.9","10.2","8.9","11.3","5.3","114.1","111.4"
"266","Kevin Love","Mia","F-C","34.5","14","21.4","17.9","16","20","0.85","24","0.667","70","0.286","0.489","0.53","7.8","6.2","2","0.4","0.2","1.3","14","9.8","16","8.6","105.7","105.1"
"267","Trey Lyles","Sac","F","27.4","65","16.7","18.1","13.7","114","0.807","149","0.617","204","0.373","0.584","0.625","7.8","3.9","0.9","0.4","0.4","0.9","11.7","8.7","12.6","7.2","119.7","110.9"
"268","Tre Mann","Okc","G","22.1","61","17.9","20.9","10.9","50","0.74","223","0.466","244","0.316","0.47","0.487","7.8","2.3","1.7","0.6","0.2","0.9","10.1","9.5","11.8","7","99.7","110.3"
"269","Mason Plumlee","Lac","F-C","33.1","15","20.7","13.8","27.2","48","0.771","56","0.714","0","0","0.714","0.759","7.8","8.3","1.6","0.5","0.5","1.4","16.1","9.4","17.7","9.1","135.7","100"
"270","Will Barton","Was","G","32.2","40","19.6","19.5","13.7","45","0.778","147","0.395","137","0.38","0.479","0.505","7.7","2.8","2.4","0.4","0.3","1.1","10.4","10.1","12.8","7.6","101.8","114.4"
"271","Julian Champagnie","San","F","21.7","7","15.9","16.5","6.8","1","1","12","0.667","29","0.414","0.634","0.639","7.6","3","0.3","0","0.6","0.4","10.6","7.9","10.9","4.8","118.5","113.8"
"272","Dario Saric","Okc","F","29","16","13.3","21.7","17.9","24","0.875","45","0.667","37","0.351","0.604","0.648","7.5","3.1","0.9","0.3","0","1.1","10.6","8.4","11.5","8.3","115.3","103.7"
"273","Jarred Vanderbilt","Lal","F","24","18","25.4","12.9","19","31","0.806","81","0.605","21","0.19","0.539","0.584","7.5","7.6","1.9","1.3","0.3","1.3","15.1","9.4","17","7.5","117.2","102.8"
"274","Torrey Craig","Pho","F","32.3","70","25.4","12.9","13.7","43","0.721","214","0.495","234","0.389","0.541","0.553","7.4","5.5","1.5","0.7","0.7","1","12.9","8.9","14.4","6.2","113.9","107.7"
"275","Edmond Sumner","Bro","G","27.2","48","14.4","22","15","99","0.929","170","0.506","84","0.357","0.516","0.595","7.4","1.5","1.4","0.6","0.2","0.9","8.9","8.8","10.3","6.9","113","106.9"
"276","Mo Bamba","Orl","C","24.9","40","17","16.3","9.3","51","0.686","106","0.594","108","0.398","0.596","0.613","7.3","4.6","1.1","0.3","1","0.6","11.9","8.3","12.9","7.8","125.4","103"
"277","Troy Brown Jr.","Lal","G-F","23.7","68","24.8","12.2","9.8","37","0.892","168","0.512","257","0.374","0.541","0.559","7.3","4.1","1.3","0.8","0.2","0.7","11.4","8.5","12.6","5.5","112.8","109.9"
"278","Reggie Bullock","Dal","G-F","32","71","30.7","9.9","7.1","37","0.703","67","0.537","362","0.39","0.577","0.585","7.3","3.6","1.4","0.7","0.2","0.5","11","8.7","12.4","4.3","118","112.6"
"279","R.J. Hampton","Det","G","22.1","13","18.1","17.3","16.6","27","0.667","35","0.457","35","0.429","0.55","0.58","7.3","1.9","1","0.6","0.2","1.1","9.2","8.3","10.2","5.3","107.4","115.6"
"280","Willy Hernangomez","Nor","C-F","28.8","35","12.8","23.8","19.2","104","0.779","153","0.542","11","0.273","0.534","0.61","7.3","5","0.9","0.5","0.4","1.1","12.3","8.2","13.2","10","118.6","97.3"
"281","Joe Ingles","Mil","F-G","35.5","39","23","12.8","17.3","19","0.842","42","0.571","177","0.412","0.61","0.622","7.3","3.1","3.2","0.7","0.1","1.2","10.3","10.5","13.6","7.2","121","106.5"
"282","Kevon Looney","Gol","F","27.1","75","23.7","10.8","10.1","144","0.597","354","0.65","1","0","0.648","0.653","7.3","9.2","2.5","0.6","0.6","0.5","16.4","9.8","18.9","9.3","149.8","103.5"
"283","Mitchell Robinson","Nyk","C-F","25","53","27.3","9.6","12.2","104","0.49","244","0.693","0","0","0.693","0.671","7.3","9.1","0.8","0.9","1.7","0.6","16.4","8.2","17.3","5.5","145","104.8"
"284","Romeo Langford","San","G-F","23.4","37","20.2","15.2","9.4","47","0.681","178","0.539","52","0.269","0.509","0.531","7.2","2.8","1.2","0.5","0.4","0.6","10","8.4","11.2","5.7","112.7","116.6"
"285","Larry Nance Jr.","Nor","F-C","30.2","56","21.4","12.2","11.9","73","0.685","234","0.662","39","0.359","0.645","0.659","7.2","5.6","1.8","0.9","0.6","0.7","12.8","9","14.6","7.8","135.3","103.9"
"286","Anthony Lamb","Gol","F","25.2","55","19.9","14","14.4","54","0.759","102","0.657","190","0.374","0.594","0.614","7.1","3.5","1.6","0.5","0.3","0.9","10.5","8.7","12.2","6.9","119.2","107.3"
"287","Josh Okogie","Pho","G","24.6","63","17.7","18.3","14.4","160","0.738","183","0.464","167","0.323","0.474","0.535","7.1","3.3","1.3","0.8","0.5","0.9","10.5","8.5","11.8","7.1","113","108.2"
"288","Dwight Powell","Dal","F-C","31.7","69","19.9","12.9","19.3","162","0.679","254","0.744","5","0","0.73","0.739","7.1","4.3","0.9","0.7","0.4","0.9","11.4","8","12.3","6.1","142.2","103.7"
"289","Jeremiah Robinson-Earl","Okc","F","22.4","38","19.2","14.8","7.5","40","0.825","122","0.566","100","0.33","0.534","0.563","7.1","4.4","1","0.6","0.3","0.5","11.5","8.1","12.5","6.6","123.9","109.6"
"290","Ty Jerome","Gol","G-F","25.7","44","18.5","14.9","11","41","0.927","152","0.546","90","0.389","0.56","0.594","7","1.8","3.1","0.5","0.1","0.7","8.8","10.1","11.9","7.3","125.7","112.3"
"291","Joshua Primo","San","G","20.3","4","23.4","18.2","29.5","9","0.778","14","0.429","12","0.25","0.404","0.467","7","3.3","4.5","0.3","0.5","2.8","10.3","11.5","14.8","8","90.3","116"
"292","Daniel Theis","Ind","F-C","31","7","15.5","20.2","6.4","12","0.417","33","0.576","11","0.182","0.5","0.497","7","3.1","1.3","0.3","0.9","0.4","10.1","8.3","11.4","7.9","108","115.2"
"293","Delon Wright","Was","G","30.9","45","23.8","12.6","13.9","49","0.898","144","0.569","103","0.35","0.551","0.588","7","3.3","3.8","1.8","0.4","0.9","10.3","10.8","14.1","7.5","128.4","112"
"294","Isaiah Jackson","Ind","F","21.2","55","15.6","17.5","14.2","121","0.653","247","0.591","12","0.167","0.575","0.604","6.9","4.2","0.8","0.4","1.4","0.8","11.1","7.7","11.9","7.3","121.2","105.1"
"295","Ben Simmons","Bro","G-F","26.7","42","26.3","14.4","29.2","57","0.439","233","0.571","2","0","0.566","0.559","6.9","6.3","6.1","1.3","0.5","2.3","13.2","13","19.3","9.8","111.2","101.7"
"296","James Wiseman","Gol","C","22","21","12.5","20","12.9","38","0.684","92","0.63","2","0.5","0.633","0.655","6.9","3.5","0.7","0.1","0.3","0.7","10.4","7.6","11","8.2","123.3","102"
"297","Brandon Boston Jr.","Lac","G","21.3","21","11.7","26.5","9","38","0.763","92","0.424","29","0.414","0.471","0.519","6.8","1.4","0.9","0.4","0","0.6","8.2","7.7","9.1","7","106","109"
"298","Evan Fournier","Nyk","G-F","30.4","23","18","18.6","11.2","21","0.857","49","0.408","102","0.324","0.46","0.49","6.8","2","1.5","0.6","0.1","0.8","8.8","8.3","10.3","6.1","102.6","106.9"
"299","Luka Garza","Min","C","24.2","26","9","26.7","10.5","52","0.788","73","0.644","38","0.368","0.613","0.661","6.8","2.3","0.7","0.1","0.1","0.5","9.1","7.5","9.8","9.9","132.8","101.2"
"300","Trendon Watford","Por","F","22.4","56","19","15","19.1","82","0.744","213","0.592","54","0.407","0.596","0.625","6.8","3.9","2.1","0.6","0.2","1.1","10.6","8.8","12.7","8","118.6","109.1"
"301","Justise Winslow","Por","F-G","27","29","26.8","14.2","17.8","28","0.714","153","0.438","45","0.311","0.444","0.466","6.8","5","3.4","1","0.4","1.5","11.8","10.1","15.1","7.3","104.8","108.6"
"302","Nickeil Alexander-Walker","Min","G","24.6","15","17.8","17.9","6.7","18","0.611","45","0.4","52","0.346","0.464","0.481","6.7","2.3","1.6","0.4","0.3","0.5","9","8.3","10.6","6.5","103.5","110.8"
"303","Kendrick Nunn","Lal","G","27.6","39","13.5","23.4","11","21","0.81","125","0.488","126","0.325","0.488","0.503","6.7","1.4","0.9","0.3","0.1","0.8","8.1","7.6","9","6","95.3","111.3"
"304","Terence Davis","Sac","G","25.9","58","13.1","21.5","12.9","39","0.821","108","0.546","209","0.373","0.555","0.575","6.6","2.3","1.1","0.7","0.2","0.8","8.9","7.7","9.9","7.8","107.8","104.4"
"305","JaMychal Green","Gol","F-C","32.8","55","14.2","17.8","17.3","67","0.776","139","0.669","110","0.382","0.627","0.654","6.6","3.7","0.9","0.5","0.4","0.9","10.3","7.5","11.2","7.9","121.4","103.6"
"306","Jock Landale","Pho","C","27.4","64","14.2","19.2","15.1","101","0.772","226","0.624","82","0.244","0.555","0.596","6.6","4","1","0.3","0.5","0.9","10.6","7.5","11.5","8.4","119.9","103.1"
"307","David Roddy","Mem","F","22","61","17.2","17.1","12.4","63","0.635","174","0.58","180","0.3","0.514","0.529","6.6","2.6","0.7","0.5","0.3","0.8","9.2","7.3","9.9","5.3","103.3","106.7"
"308","Ochai Agbaji","Uta","G","22.9","50","18.7","13.6","8.8","45","0.756","95","0.558","165","0.376","0.562","0.583","6.5","1.9","0.8","0.3","0.2","0.5","8.4","7.4","9.2","4.6","119.3","113.9"
"309","Goran Dragic","Chi","G","36.9","50","15.6","21","15.6","41","0.659","170","0.482","128","0.352","0.502","0.516","6.5","1.4","2.8","0.2","0.1","1.1","7.9","9.3","10.7","7.5","104.1","110.4"
"310","Isaac Okoro","Cle","F-G","22.2","75","21.9","11.9","10.4","101","0.752","182","0.615","171","0.363","0.581","0.611","6.5","2.5","1.2","0.7","0.4","0.5","9","7.6","10.1","4.9","123.6","104.6"
"311","Xavier Tillman","Mem","F","24.2","54","18.3","13.6","13.4","79","0.557","237","0.62","15","0.267","0.607","0.61","6.5","4.7","1.5","0.9","0.4","0.7","11.2","8","12.7","7.8","127.1","104.3"
"312","Aaron Wiggins","Okc","G-F","24.2","62","18.3","14.4","13.8","62","0.806","207","0.556","105","0.381","0.561","0.589","6.5","3.1","1.2","0.5","0.2","0.8","9.5","7.6","10.7","6.3","116.7","109.9"
"313","Patrick Beverley","Lal","G","34.7","45","26.9","10.6","14.8","50","0.78","83","0.506","158","0.348","0.517","0.548","6.4","3.1","2.6","0.9","0.6","0.9","9.5","9","12.1","5.5","112.4","106.8"
"314","Cory Joseph","Det","G","31.6","54","18.5","15.3","14.6","67","0.806","148","0.473","133","0.376","0.516","0.554","6.4","1.6","3.4","0.5","0.1","0.9","8","9.7","11.3","7.1","117.9","115.5"
"315","Isaiah Livers","Det","F","24.7","47","22.6","11.9","9.2","33","0.788","73","0.562","183","0.35","0.535","0.554","6.4","2.6","0.8","0.6","0.5","0.6","8.9","7.1","9.7","4.2","110.9","114.4"
"316","Nickeil Alexander-Walker","Uta","G","24.6","36","14.7","18.4","20.9","39","0.692","83","0.578","87","0.402","0.591","0.609","6.3","1.6","2.1","0.7","0.4","1.3","8","8.4","10.1","7.5","111.5","108.6"
"317","Dorian Finney-Smith","Bro","F","29.9","19","28","13.4","13.6","16","0.813","45","0.422","88","0.261","0.402","0.428","6.3","4.7","1.6","0.7","0.5","1.1","11","7.9","12.6","5.2","96.4","110.5"
"318","Svi Mykhailiuk","Cha","G-F","25.8","12","15.9","16","10.6","15","0.533","25","0.4","34","0.471","0.576","0.579","6.3","1.3","1.1","0.3","0.1","0.6","7.6","7.4","8.7","5.2","112.5","116.2"
"319","Duncan Robinson","Mia","F","28.9","35","16.5","17.7","9.5","25","0.92","38","0.526","161","0.329","0.5","0.529","6.3","1.7","1.1","0.3","0","0.6","8.1","7.5","9.2","5.5","105.8","105.5"
"320","Mike Muscala","Okc","F-C","31.7","43","14.5","15.7","6.4","39","0.795","61","0.541","142","0.394","0.576","0.602","6.2","3.1","0.9","0.3","0.4","0.3","9.3","7","10.2","7.1","124.9","105.2"
"321","Dru Smith","Bro","G","25.2","5","11.3","20.7","3.8","1","1","13","0.692","12","0.333","0.6","0.609","6.2","1.8","2","1","0.2","0.2","8","8.2","10","10","130.6","105.7"
"322","Drew Eubanks","Por","F-C","26.1","71","19.6","11.4","17.3","105","0.667","256","0.691","7","0.429","0.69","0.7","6.1","5.1","1.2","0.5","1.1","0.8","11.2","7.3","12.4","6.8","135.8","108.3"
"323","Sam Hauser","Bos","F","25.3","72","15.6","14.5","6.6","17","0.706","53","0.623","288","0.42","0.629","0.633","6.1","2.5","0.7","0.3","0.3","0.3","8.6","6.9","9.4","5.6","123.9","107.1"
"324","Reggie Jackson","Den","G","32.9","10","18.6","19.8","13.5","8","0.75","33","0.333","37","0.297","0.393","0.415","6.1","1.4","3","0.5","0.1","1.1","7.5","9.1","10.5","6.3","93.2","112.7"
"325","Nassir Little","Por","F-G","23.1","50","17.5","14.9","10.3","39","0.692","114","0.544","137","0.38","0.558","0.572","6.1","2.6","0.9","0.3","0.4","0.6","8.7","7.1","9.7","5.5","113.1","115.1"
"326","Patty Mills","Bro","G","34.6","38","13.6","19.8","11.9","23","0.913","70","0.486","123","0.382","0.541","0.566","6.1","1.1","1.4","0.4","0.1","0.7","7.2","7.4","8.5","6.2","109.3","115.7"
"327","Obi Toppin","Nyk","F","25.1","60","14.3","19","8.8","37","0.784","132","0.553","199","0.322","0.511","0.528","6.1","2.8","0.8","0.3","0.2","0.5","8.9","6.9","9.6","6.7","108.9","110"
"328","Nicolas Batum","Lac","G-F","34.3","70","21.7","11.7","11.9","44","0.682","62","0.565","278","0.385","0.575","0.586","6","3.9","1.5","0.7","0.6","0.7","10","7.5","11.5","6","119.4","107.2"
"329","Jae Crowder","Mil","F","32.7","11","18.7","11.2","7.9","11","0.818","13","0.692","33","0.394","0.62","0.649","6","4.2","1.4","0.5","0.4","0.4","10.2","7.4","11.5","7","138.6","105.1"
"330","Jordan Goodwin","Was","G","24.4","54","17.1","16.2","13.9","61","0.754","184","0.516","88","0.341","0.515","0.545","6","3.1","2.4","0.9","0.4","0.8","9.2","8.4","11.5","8.3","116.3","107.9"
"331","Kendrick Nunn","Was","G","27.6","23","12.9","21.3","15.1","12","0.917","61","0.525","57","0.368","0.538","0.56","6","1.4","1.6","0.5","0","0.9","7.4","7.6","9","7.4","106.9","113.6"
"332","Jordan Nwora","Mil","F","24.5","38","15.7","17.6","14.7","43","0.86","95","0.379","102","0.392","0.487","0.53","6","3.1","1","0.3","0.2","0.9","9.1","7","10.1","6.8","105.9","108.2"
"333","Oshae Brissett","Ind","F-G","24.8","58","16.3","15.4","8.4","111","0.694","136","0.478","137","0.328","0.485","0.531","5.9","3.4","0.6","0.5","0.2","0.4","9.3","6.5","9.9","5.6","112.9","113"
"334","Andre Drummond","Chi","C","29.6","60","12.7","21.2","22.5","106","0.538","245","0.608","3","0","0.601","0.602","5.9","6.6","0.5","0.7","0.4","1.2","12.6","6.5","13.1","8.5","113.4","92.7"
"335","Wenyen Gabriel","Lal","F","26","60","15.5","14.6","14.7","80","0.625","210","0.648","33","0.303","0.621","0.633","5.9","4.3","0.5","0.4","0.5","0.7","10.2","6.4","10.7","6","125.6","101.2"
"336","Stanley Johnson","San","F-G","26.8","30","15.6","15.3","21.1","39","0.667","83","0.578","40","0.45","0.61","0.628","5.9","3.2","2.2","0.5","0.2","1.1","9","8.1","11.3","8.9","117.4","111.8"
"337","Maxi Kleber","Dal","F","31.2","32","25.7","9.9","12.1","33","0.667","51","0.686","94","0.34","0.572","0.589","5.9","3.8","1.3","0.3","0.8","0.6","9.7","7.2","11","4.8","120.2","111.1"
"338","Yuta Watanabe","Bro","G-F","28.4","50","17","12.8","8.8","41","0.756","91","0.571","116","0.457","0.635","0.653","5.9","2.5","0.9","0.5","0.3","0.4","8.4","6.8","9.3","5.6","127.8","110.3"
"339","Jaylin Williams","Okc","F","20.7","42","18.1","13.9","13.2","45","0.711","109","0.459","94","0.415","0.534","0.559","5.9","4.8","1.5","0.5","0.3","0.7","10.7","7.4","12.2","7.7","113.9","101.4"
"340","Patrick Beverley","Chi","G","34.7","14","28.4","10.6","15.5","13","0.538","25","0.52","51","0.314","0.487","0.496","5.8","6.1","3.7","0.6","0.8","1","11.9","9.5","15.6","7.2","114.3","103.4"
"341","Robert Covington","Lac","F","32.3","41","16","15.9","10.3","36","0.75","82","0.524","119","0.345","0.52","0.544","5.8","3.5","1.2","0.8","0.7","0.6","9.2","7","10.4","7.2","113.4","102.6"
"342","Simone Fontecchio","Uta","F","27.3","44","13.1","20","11.2","40","0.825","85","0.412","144","0.347","0.48","0.513","5.8","1.4","0.8","0.3","0.2","0.7","7.1","6.5","7.9","5.7","104.7","114.5"
"343","Dario Saric","Pho","F","29","37","14.4","18.7","16.8","44","0.818","109","0.45","69","0.391","0.503","0.545","5.8","3.8","1.5","0.4","0.1","1","9.6","7.4","11.2","8.9","110.5","102.2"
"344","Charles Bassey","San","C-F","22.4","35","14.5","15.7","23.3","37","0.595","127","0.661","8","0.375","0.656","0.658","5.7","5.5","1.3","0.5","0.9","1.2","11.2","7","12.5","9.5","120.7","105"
"345","Dewayne Dedmon","Mia","C","33.6","30","11.7","21.2","12.8","44","0.727","92","0.576","37","0.297","0.539","0.576","5.7","3.6","0.5","0.2","0.5","0.6","9.3","6.2","9.9","7.4","113.4","94.4"
"346","R.J. Hampton","Orl","G","22.1","26","13.9","18","15.5","37","0.838","61","0.525","53","0.34","0.518","0.572","5.7","1.5","1.3","0.6","0.2","0.8","7.2","7","8.5","6.4","111.5","111.7"
"347","Jalen McDaniels","Phi","F-C","25.1","15","15.4","15.8","10","27","0.778","51","0.549","12","0.25","0.516","0.574","5.7","3.3","0.6","0.4","0","0.5","9","6.3","9.6","5.8","119.2","98.8"
"348","Rodney McGruder","Det","G","31.7","32","16.4","14","6.7","22","0.818","55","0.382","97","0.423","0.543","0.566","5.7","2.3","0.9","0.5","0","0.3","8","6.6","8.9","5.6","119.2","114.9"
"349","Alex Caruso","Chi","G","29.1","60","23.9","11.1","22","71","0.803","124","0.54","134","0.366","0.545","0.584","5.6","3","3","1.5","0.6","1.2","8.6","8.6","11.6","6.2","114.1","104.1"
"350","Kevin Knox II","Det","F","23.6","42","14.1","16.1","15.1","33","0.788","63","0.651","116","0.371","0.589","0.612","5.6","2.6","0.4","0.3","0.3","0.8","8.2","6","8.6","5.1","109.6","108.4"
"351","Saben Lee","Pho","G","23.8","20","14.6","18.2","19.2","47","0.766","65","0.415","19","0.368","0.446","0.53","5.6","1.9","2.7","0.7","0.1","1","7.4","8.2","10.1","8.4","113","108.4"
"352","Davion Mitchell","Sac","G","24.6","72","18","14","13.6","28","0.786","180","0.578","174","0.333","0.54","0.551","5.6","1.4","2.2","0.5","0.2","0.8","7","7.8","9.2","5.7","111.1","113.1"
"353","Derrick Rose","Nyk","G","34.5","27","12.5","23.7","12.1","12","0.917","96","0.438","63","0.302","0.443","0.463","5.6","1.5","1.7","0.3","0.2","0.8","7.1","7.3","8.8","7.8","99.3","113.4"
"354","Javonte Green","Chi","G-F","29.7","30","15.5","13.7","16","43","0.674","71","0.676","34","0.382","0.643","0.662","5.5","2.8","0.8","0.8","0.7","0.7","8.3","6.2","9","6","124.8","103.4"
"355","Nikola Jovic","Mia","F","19.8","15","13.6","18.9","12.6","19","0.947","34","0.588","35","0.229","0.464","0.53","5.5","2.1","0.7","0.5","0.1","0.7","7.5","6.1","8.2","5.9","105.9","106"
"356","Otto Porter Jr.","Tor","F","29.8","8","18.3","10.9","11.6","8","1","13","0.692","17","0.353","0.6","0.656","5.5","2.4","1","1.4","0","0.5","7.9","6.5","8.9","5.2","132.4","111.8"
"357","Ricky Rubio","Cle","G","32.4","26","17.3","17.7","15.2","31","0.774","72","0.458","67","0.269","0.432","0.472","5.5","2.2","3.5","0.9","0.2","1","7.8","9","11.3","8.1","106.8","103.9"
"358","Darius Bazley","Okc","F-G","22.8","36","15.4","15.7","12.2","65","0.554","113","0.469","45","0.4","0.506","0.525","5.4","3.4","0.9","0.5","0.8","0.6","8.8","6.3","9.7","6.6","108.4","110.1"
"359","Josh Christopher","Hou","G","21.3","56","11.6","21.7","15.8","52","0.769","189","0.534","77","0.26","0.492","0.523","5.4","1.1","1.1","0.4","0.2","0.9","6.5","6.5","7.6","6.4","101.7","115.3"
"360","Montrezl Harrell","Phi","F-C","29.2","52","12.1","18.1","14.2","85","0.694","185","0.605","2","0","0.599","0.631","5.4","2.7","0.6","0.3","0.5","0.6","8.2","6","8.8","6.8","125.5","103.8"
"361","Theo Maledon","Cha","G","21.8","37","16.3","15.4","17.8","56","0.875","97","0.454","64","0.328","0.469","0.539","5.4","2.4","2.4","0.7","0.2","0.9","7.8","7.8","10.2","7.7","109.3","111.5"
"362","Lamar Stevens","Cle","F","25.7","55","17.7","13.7","8.7","51","0.725","168","0.536","83","0.325","0.52","0.545","5.4","3.2","0.5","0.4","0.3","0.4","8.6","6","9.1","4.6","112.5","106.6"
"363","Vlatko Cancar","Den","F","26","52","15.5","13.9","13.7","34","0.912","103","0.583","105","0.4","0.591","0.621","5.3","2.2","1.4","0.3","0.2","0.6","7.6","6.7","9","6.5","121.1","108.7"
"364","Devonte' Graham","Nor","G","28.1","53","15.3","15","10.5","59","0.746","41","0.463","190","0.347","0.511","0.545","5.3","1.4","2.2","0.6","0.2","0.5","6.6","7.5","8.8","6.6","118.2","111.2"
"365","Jalen Johnson","Atl","F","21.3","63","14.7","15.2","10.2","66","0.652","184","0.571","89","0.292","0.527","0.548","5.3","4","1","0.5","0.4","0.5","9.2","6.3","10.3","7.5","114.8","106"
"366","MarJon Beauchamp","Mil","F","22.4","44","13.5","18.7","14.8","33","0.697","89","0.506","123","0.317","0.488","0.508","5.2","2.2","0.6","0.4","0.1","0.8","7.4","5.8","8","5.6","99.2","103.7"
"367","Ousmane Dieng","Okc","F","19.8","31","15.1","15.8","11.2","17","0.588","70","0.571","81","0.296","0.503","0.511","5.2","2.8","1.1","0.4","0.2","0.6","8.1","6.3","9.1","6.7","104.1","109.8"
"368","Rudy Gay","Uta","F-G","36.6","56","14.6","17.7","11.4","49","0.857","157","0.484","130","0.254","0.437","0.475","5.2","2.9","1","0.3","0.3","0.7","8.1","6.3","9.2","6.8","101.2","110.9"
"369","John Konchar","Mem","G","27","65","21","10.4","10.7","33","0.818","125","0.528","168","0.351","0.527","0.546","5.2","4.2","1.3","1","0.3","0.5","9.4","6.5","10.8","5.8","116.5","105.5"
"370","Ziaire Williams","Mem","F","21.5","36","14.7","17.3","16.9","18","0.778","88","0.602","89","0.247","0.486","0.503","5.2","2.1","0.7","0.4","0.1","1","7.3","5.9","8","5.4","93.3","104.6"
"371","Jaxson Hayes","Nor","C-F","22.8","45","13.4","15.5","16.5","83","0.699","125","0.656","27","0.111","0.569","0.613","5.1","2.9","0.8","0.4","0.4","0.7","8","5.9","8.8","6.8","119.1","103.7"
"372","Lindy Waters III","Okc","F","25.7","37","12.8","15.3","6","18","0.833","13","0.692","142","0.366","0.561","0.58","5.1","1.7","0.7","0.3","0.2","0.3","6.8","5.8","7.5","5.7","119.7","110.9"
"373","George Hill","Mil","G","36.9","35","19.1","11.3","16.9","46","0.739","58","0.621","74","0.311","0.534","0.575","5","1.9","2.5","0.5","0.1","0.8","6.9","7.5","9.5","6","120.9","109.1"
"374","Jonathan Isaac","Orl","F","25.5","11","11.3","21.1","7","9","0.556","38","0.421","15","0.4","0.472","0.483","5","4","0.5","1.3","0.4","0.4","9","5.5","9.5","7.6","108.5","105.6"
"375","Derrick Jones Jr.","Chi","F","26.1","56","14","14.4","9.9","77","0.766","136","0.596","63","0.317","0.558","0.603","5","2.4","0.6","0.4","0.6","0.4","7.4","5.6","8","5.5","125.2","106.7"
"376","Cody Martin","Cha","F","27.5","7","19.1","12.9","5.2","7","0.571","22","0.5","14","0.214","0.431","0.448","5","3.4","1.6","0.6","0.1","0.3","8.4","6.6","10","6.3","108","109.4"
"377","Zeke Nnaji","Den","F-C","22.2","46","13.2","14.4","12.5","56","0.679","109","0.697","45","0.289","0.62","0.641","5","2.4","0.3","0.3","0.4","0.5","7.3","5.2","7.6","4.6","126.7","104.2"
"378","Chimezie Metu","Sac","F-C","26","60","10.8","17.1","12.5","58","0.759","166","0.675","36","0.25","0.621","0.648","4.9","3","0.7","0.4","0.4","0.5","7.9","5.6","8.6","8.1","126.5","104.5"
"379","Mike Muscala","Bos","F-C","31.7","12","15.1","13.7","8.9","2","0.5","12","0.667","39","0.359","0.569","0.569","4.9","3.1","0.3","0.3","0.3","0.4","8","5.2","8.3","4.4","107.2","104"
"380","Eugene Omoruyi","Okc","F","26.1","23","11.8","18.8","14.5","28","0.607","63","0.571","31","0.258","0.511","0.531","4.9","2.3","0.5","0.6","0","0.7","7.2","5.4","7.7","6","105.3","99.5"
"381","Austin Rivers","Min","G","30.6","52","19.5","10.5","9.9","39","0.769","86","0.558","123","0.35","0.538","0.564","4.9","1.6","1.4","0.5","0.1","0.4","6.5","6.3","7.9","4.6","114.5","112.3"
"382","Blake Wesley","San","G","20","29","17.2","19","22.5","35","0.6","123","0.293","42","0.381","0.364","0.391","4.9","2.1","2.6","0.6","0.1","1.7","6.9","7.4","9.5","7","80.7","112.4"
"383","Isaiah Hartenstein","Nyk","C-F","24.9","75","19.6","11.3","17","59","0.746","261","0.563","37","0.216","0.534","0.559","4.8","6.6","1","0.6","0.8","0.8","11.4","5.8","12.4","6.5","123","100.9"
"384","DeAndre Jordan","Den","C","34.7","35","14.3","13.7","30.2","41","0.439","96","0.771","1","1","0.778","0.735","4.8","4.8","0.9","0.2","0.6","1.2","9.6","5.7","10.5","7.7","116.1","101.5"
