"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"448","Jarrell Brantley","Uta","F","26.8","2","6.8","18.2","18.4","2","1","1","1","3","0.333","0.625","0.717","3.5","1.5","1","0","0.5","0.5","5","4.5","6","10.2","132.4","111.3"
"449","Max Christie","Lal","G","20.1","38","13.3","10.3","10.2","16","0.875","43","0.419","62","0.419","0.543","0.571","3.4","1.9","0.5","0.2","0.2","0.3","5.3","3.9","5.8","4.4","111.6","110.6"
"450","David Duke Jr.","Bro","G","23.4","18","9.6","20.3","18.6","9","0.556","53","0.509","8","0.125","0.467","0.477","3.4","1.1","0.9","0.4","0.1","0.8","4.6","4.3","5.4","6.2","92","103.1"
"451","Miles McBride","Nyk","G","22.5","58","11.7","14.4","10.4","38","0.684","67","0.448","122","0.311","0.46","0.486","3.4","0.8","1.1","0.6","0.1","0.4","4.3","4.6","5.4","4.9","107.8","110.4"
"452","P.J. Tucker","Phi","F","37.9","68","25.7","6.4","17.1","23","0.826","76","0.474","123","0.382","0.535","0.555","3.4","4","0.8","0.6","0.2","0.6","7.4","4.2","8.2","3.4","117.4","107.2"
"453","Goga Bitadze","Ind","C-F","23.7","21","9.6","15.5","18.7","24","0.458","38","0.605","14","0.286","0.558","0.551","3.3","2.3","0.9","0.4","0.5","0.6","5.6","4.1","6.5","7.9","115.4","103"
"454","Taj Gibson","Was","F","37.8","45","9.8","14.9","16.4","38","0.684","93","0.602","19","0.211","0.554","0.583","3.3","2","0.7","0.3","0.3","0.5","5.3","4","6","6.8","116.4","99.7"
"455","Kevon Harris","Orl","G","25.8","31","12.3","12.5","16.1","27","0.815","53","0.434","30","0.367","0.476","0.532","3.3","1.9","0.4","0.5","0.1","0.5","5.2","3.7","5.6","4.4","108.6","105.8"
"456","Kevin Knox II","Por","F","23.6","12","8.1","15.4","3","3","1","17","0.706","15","0.267","0.563","0.585","3.3","1.6","0.3","0.2","0","0.1","4.8","3.5","5.1","5.8","123.3","110.1"
"457","Wesley Matthews","Mil","G","36.4","43","15.5","9.8","10.9","20","0.85","26","0.423","104","0.327","0.477","0.508","3.3","2.2","0.6","0.4","0.3","0.4","5.5","3.8","6.1","4.2","110.4","105.4"
